,tconst,ordering,nconst,category,job,characters
3077,tt0000939,7,nm0555522,cinematographer,\N,\N
3078,tt0000939,8,nm0250676,actress,\N,"[""Student""]"
3079,tt0000939,9,nm0354803,actress,\N,"[""Student""]"
3080,tt0000940,1,nm0531584,actor,\N,\N
3081,tt0000940,2,nm0298301,actress,\N,\N
3082,tt0000940,3,nm0789748,actor,\N,\N
3083,tt0000940,4,nm0205986,director,\N,\N
3084,tt0000940,5,nm0779797,writer,story,\N
3085,tt0000941,1,nm0034453,actor,\N,\N
3086,tt0000941,2,nm0140054,actor,\N,\N
3087,tt0000941,3,nm0243918,actor,\N,\N
3088,tt0000941,4,nm0294022,actress,\N,\N
3089,tt0000941,5,nm0063413,director,\N,\N
3090,tt0000941,6,nm0550220,director,\N,\N
3091,tt0000941,7,nm0848502,writer,play,\N
3092,tt0000942,10,nm0555522,cinematographer,\N,\N
3093,tt0000942,1,nm0587097,actor,\N,"[""Robert Cullison""]"
3094,tt0000942,2,nm0502701,actress,\N,"[""Mrs. Robert Cullison""]"
3095,tt0000942,3,nm0681933,actress,\N,"[""One of the Cullison Children""]"
3096,tt0000942,4,nm0250676,actress,\N,"[""One of the Cullison Children""]"
3097,tt0000942,5,nm0000428,director,\N,\N
3098,tt0000942,6,nm4117830,writer,"novel ""Au Téléphone"" by",\N
3099,tt0000942,7,nm0520524,writer,play,\N
3100,tt0000942,8,nm0784407,writer,writer,\N
3101,tt0000942,9,nm0005658,cinematographer,\N,\N
3102,tt0000943,10,nm0038106,actress,\N,"[""Lady-in-Waiting""]"
3103,tt0000943,1,nm0376829,actress,\N,"[""The Duchess""]"
3104,tt0000943,2,nm0424530,actor,\N,"[""The Duke""]"
3105,tt0000943,3,nm0502701,actress,\N,"[""Their Daughter""]"
3106,tt0000943,4,nm0813603,actor,\N,"[""One of the Daughter's Suitors""]"
3107,tt0000943,5,nm0000428,director,\N,\N
3108,tt0000943,6,nm0005658,cinematographer,\N,\N
3109,tt0000943,7,nm0555522,cinematographer,\N,\N
3110,tt0000943,8,nm0409390,actor,\N,"[""One of the Daughter's Suitors""]"
3111,tt0000943,9,nm0587097,actor,\N,"[""Minister""]"
3112,tt0000944,1,nm0294276,director,\N,\N
3113,tt0000944,2,nm0378408,producer,producer,\N
3114,tt0000945,10,nm0813603,actor,\N,"[""Jim's Friend""]"
3115,tt0000945,1,nm0502701,actress,\N,"[""Gertrude""]"
3116,tt0000945,2,nm0784407,actor,\N,"[""Jack""]"
3117,tt0000945,3,nm0949133,actor,\N,"[""Jim - the First Husband""]"
3118,tt0000945,4,nm0376829,actress,\N,"[""The Mother""]"
3119,tt0000945,5,nm0000428,director,\N,\N
3120,tt0000945,6,nm0853193,writer,writer,\N
3121,tt0000945,7,nm0005658,cinematographer,\N,\N
3122,tt0000945,8,nm0555522,cinematographer,\N,\N
3123,tt0000945,9,nm0587097,actor,\N,"[""The Father""]"
3124,tt0000946,10,nm0038106,actress,\N,"[""Rich Woman""]"
3125,tt0000946,1,nm0502701,actress,\N,"[""Isabelle""]"
3126,tt0000946,2,nm0813603,actor,\N,"[""Enrico""]"
3127,tt0000946,3,nm0492757,actress,\N,"[""Veronica""]"
3128,tt0000946,4,nm0376829,actress,\N,"[""Veronica's Partner""]"
3129,tt0000946,5,nm0000428,director,\N,\N
3130,tt0000946,6,nm0005658,cinematographer,\N,\N
3131,tt0000946,7,nm0555522,cinematographer,\N,\N
3132,tt0000946,8,nm0409390,actor,\N,"[""Second Suitor""]"
3133,tt0000946,9,nm0601698,actor,\N,"[""Rich Man""]"
3134,tt0000947,1,nm0488932,actor,\N,\N
3135,tt0000947,2,nm0814379,actress,\N,\N
3136,tt0000948,1,nm0304098,writer,writer,\N
3137,tt0000950,1,nm0135493,actor,\N,"[""Macbeth""]"
3138,tt0000950,2,nm0143332,actress,\N,"[""Lady Macbeth""]"
3139,tt0000950,3,nm0658775,actor,\N,\N
3140,tt0000950,4,nm1301649,actor,\N,\N
3141,tt0000950,5,nm0143333,director,\N,\N
3142,tt0000950,6,nm0000636,writer,play,\N
3143,tt0000951,1,nm0088881,actor,\N,\N
3144,tt0000951,2,nm5227669,actress,\N,\N
3145,tt0000951,3,nm0488932,actor,\N,"[""Napoleon Bonaparte""]"
3146,tt0000951,4,nm0804632,actor,\N,\N
3147,tt0000951,5,nm0603447,writer,play,\N
3148,tt0000951,6,nm0765026,writer,play,\N
3149,tt0000951,7,nm0937628,actor,\N,\N
3150,tt0000952,1,nm0130633,actor,\N,"[""General""]"
3151,tt0000952,2,nm0220460,actress,\N,"[""Madame de Langeais""]"
3152,tt0000953,1,nm0001908,actor,\N,\N
3153,tt0000954,1,nm0000428,director,\N,\N
3154,tt0000955,1,nm0842239,actress,\N,\N
3155,tt0000956,1,nm0376829,actress,\N,"[""Margie - the Cook""]"
3156,tt0000956,2,nm0502701,actress,\N,"[""Mrs. Holland""]"
3157,tt0000956,3,nm0813603,actor,\N,"[""Mr. Holland""]"
3158,tt0000956,4,nm0102858,actress,\N,\N
3159,tt0000956,5,nm0000428,director,\N,\N
3160,tt0000956,6,nm0005658,cinematographer,\N,\N
3161,tt0000956,7,nm0311375,actor,\N,"[""Policeman""]"
3162,tt0000956,8,nm0587097,actor,\N,\N
3163,tt0000956,9,nm0784407,actor,\N,"[""Policeman""]"
3164,tt0000957,1,nm0511729,actor,\N,\N
3165,tt0000957,2,nm0211191,actor,\N,"[""Hochzeitsgast""]"
3166,tt0000957,3,nm0888708,actor,\N,"[""Oncle Gaston""]"
3167,tt0000957,4,nm0596942,writer,comedy,\N
3168,tt0000958,10,nm1352982,actress,\N,"[""At Party""]"
3169,tt0000958,1,nm0492757,actress,\N,"[""Mrs. Ross""]"
3170,tt0000958,2,nm0214651,actress,\N,"[""Mrs. Ross's Daughter""]"
3171,tt0000958,3,nm0502701,actress,\N,"[""Mrs. Parker""]"
3172,tt0000958,5,nm0000428,director,\N,\N
3173,tt0000958,6,nm0005658,cinematographer,\N,\N
3174,tt0000958,7,nm0102858,actress,\N,\N
3175,tt0000958,8,nm0250676,actress,\N,\N
3176,tt0000958,9,nm0376829,actress,\N,"[""At Party""]"
3177,tt0000959,1,nm0185426,director,\N,\N
3178,tt0000959,2,nm0870831,cinematographer,\N,\N
3179,tt0000960,10,nm0784407,actor,\N,"[""Indian""]"
3180,tt0000960,1,nm0492757,actress,\N,"[""Rising Moon""]"
3181,tt0000960,2,nm0288616,actor,\N,"[""Chief Great Elk Horn""]"
3182,tt0000960,3,nm0601698,actor,\N,"[""Little Bear""]"
3183,tt0000960,4,nm0456804,actor,\N,"[""Standing Rock""]"
3184,tt0000960,5,nm0000428,director,\N,\N
3185,tt0000960,6,nm0853193,writer,writer,\N
3186,tt0000960,7,nm0005658,cinematographer,\N,\N
3187,tt0000960,8,nm0424530,actor,\N,"[""Indian""]"
3188,tt0000960,9,nm0656425,actor,\N,"[""Indian""]"
3189,tt0000961,10,nm0534221,actress,\N,\N
3190,tt0000961,1,nm0288616,actor,\N,"[""Harold Woodson""]"
3191,tt0000961,2,nm0456804,actor,\N,"[""David Williams""]"
3192,tt0000961,3,nm0366008,actor,\N,"[""Farm Boy""]"
3193,tt0000961,4,nm0250676,actress,\N,"[""In Crowd""]"
3194,tt0000961,5,nm0000428,director,\N,\N
3195,tt0000961,6,nm0940488,writer,writer,\N
3196,tt0000961,7,nm0005658,cinematographer,\N,\N
3197,tt0000961,8,nm0555522,cinematographer,\N,\N
3198,tt0000961,9,nm0424530,actor,\N,\N
3199,tt0000962,1,nm0681933,actress,\N,"[""The Señorita""]"
3200,tt0000962,2,nm0704334,actor,\N,"[""American Soldier""]"
3201,tt0000962,3,nm0456804,actor,\N,"[""Mexican in Bar""]"
3202,tt0000962,4,nm0674185,actor,\N,"[""The Señorita's Sweetheart""]"
3203,tt0000962,5,nm0000428,director,\N,\N
3204,tt0000962,6,nm0005658,cinematographer,\N,\N
3205,tt0000962,7,nm0784407,actor,\N,"[""Mexican in Bar""]"
3206,tt0000963,1,nm0001908,actor,\N,"[""The Sheriff""]"
3207,tt0000963,2,nm0878035,actor,\N,\N
3208,tt0000964,10,nm0366511,actress,\N,"[""Eleanor's Maid""]"
3209,tt0000964,1,nm0704334,actor,\N,"[""Frank""]"
3210,tt0000964,2,nm0681933,actress,\N,"[""Eleanor""]"
3211,tt0000964,3,nm0922044,actress,\N,"[""Mercedes""]"
3212,tt0000964,4,nm0115524,actress,\N,"[""Eleanor's Mother""]"
3213,tt0000964,5,nm0000428,director,\N,\N
3214,tt0000964,6,nm0005658,cinematographer,\N,\N
3215,tt0000964,7,nm0555522,cinematographer,\N,\N
3216,tt0000964,8,nm0784407,actor,\N,"[""Sergeant Reginald Vandyke Worthington""]"
3217,tt0000964,9,nm0629589,actor,\N,"[""Frank's Friend""]"
3218,tt0000965,1,nm0878035,actor,\N,"[""The Burglar""]"
3219,tt0000965,2,nm0001908,director,\N,\N
3220,tt0000966,10,nm0330352,actress,\N,"[""Helena""]"
3221,tt0000966,1,nm0010017,actor,\N,"[""Demetrius""]"
3222,tt0000966,2,nm0152323,actor,\N,"[""Quince""]"
3223,tt0000966,3,nm0182537,actress,\N,"[""Fairy""]"
3224,tt0000966,4,nm0182557,actress,\N,"[""Fairy""]"
3225,tt0000966,5,nm0448682,director,\N,\N
3226,tt0000966,6,nm0085865,director,co-director,\N
3227,tt0000966,7,nm0612348,writer,scenario,\N
3228,tt0000966,8,nm0000636,writer,play,\N
3229,tt0000966,9,nm0007221,actor,\N,"[""Lysander""]"
3230,tt0000967,10,nm0642722,actor,\N,"[""At Party""]"
3231,tt0000967,1,nm0424530,actor,\N,"[""Henry Woodson""]"
3232,tt0000967,2,nm0038106,actress,\N,"[""Hulda - the Maid""]"
3233,tt0000967,3,nm0502701,actress,\N,"[""Nellie""]"
3234,tt0000967,4,nm0173994,actor,\N,"[""Delivery Man""]"
3235,tt0000967,5,nm0000428,director,\N,\N
3236,tt0000967,6,nm0005658,cinematographer,\N,\N
3237,tt0000967,7,nm0125164,actor,\N,"[""In Editor's Office""]"
3238,tt0000967,8,nm0163559,actor,\N,"[""In Editor's Office""]"
3239,tt0000967,9,nm0601698,actor,\N,"[""At Party""]"
3240,tt0000968,1,nm0294276,director,\N,\N
3241,tt0000968,2,nm0378408,producer,producer,\N
3242,tt0000969,1,nm0710362,actor,\N,"[""Javert""]"
3243,tt0000969,2,nm0007221,actor,\N,"[""Jean Valjean""]"
3244,tt0000969,3,nm0623817,actress,\N,\N
3245,tt0000969,4,nm0531584,actor,\N,\N
3246,tt0000969,5,nm0085865,director,\N,\N
3247,tt0000969,6,nm0401076,writer,novel,\N
3248,tt0000970,10,nm1779686,actress,\N,"[""La muse de Molière""]"
3249,tt0000970,1,nm0045867,actor,\N,"[""Molière""]"
3250,tt0000970,2,nm0304098,actor,\N,"[""Molière jeune""]"
3251,tt0000970,3,nm0195544,actor,\N,"[""Louis XIV""]"
3252,tt0000970,4,nm1333629,actress,\N,"[""Armande Béjart""]"
3253,tt0000970,5,nm0674600,director,\N,\N
3254,tt0000970,6,nm0275421,writer,writer,\N
3255,tt0000970,7,nm0817414,cinematographer,\N,\N
3256,tt0000970,8,nm0307872,production_designer,\N,\N
3257,tt0000970,9,nm1779176,actress,\N,"[""La servante La Forest""]"
3258,tt0000971,1,nm0024344,actor,\N,"[""Molenaar""]"
3259,tt0000971,2,nm0077702,actor,\N,"[""Verliefde mededinger""]"
3260,tt0000971,3,nm0767008,actress,\N,"[""Johanna""]"
3261,tt0000971,4,nm0532622,director,\N,\N
3262,tt0000971,5,nm0084690,cinematographer,\N,\N
3263,tt0000972,10,nm0642722,actor,\N,"[""The Sheriff""]"
3264,tt0000972,1,nm0681933,actress,\N,"[""Harum-Scarum - a Mountain Girl""]"
3265,tt0000972,2,nm0601698,actor,\N,"[""The Mountain Girl's Suitor""]"
3266,tt0000972,3,nm0456804,actor,\N,"[""The Mountain Girl's Brother""]"
3267,tt0000972,4,nm0115524,actress,\N,"[""The Mountain Girl's Mother""]"
3268,tt0000972,5,nm0000428,director,\N,\N
3269,tt0000972,6,nm0940488,writer,writer,\N
3270,tt0000972,7,nm0005658,cinematographer,\N,\N
3271,tt0000972,8,nm0629589,actor,\N,"[""The Mountain Girl's Father""]"
3272,tt0000972,9,nm0424530,actor,\N,"[""A Traveler From The Valley""]"
3273,tt0000974,10,nm0376829,actress,\N,"[""Guest""]"
3274,tt0000974,1,nm0173994,actor,\N,"[""Mr. Jones""]"
3275,tt0000974,2,nm0492757,actress,\N,"[""Mrs. Jones""]"
3276,tt0000974,3,nm0038106,actress,\N,"[""The Maid""]"
3277,tt0000974,4,nm0366008,actor,\N,"[""The Messenger""]"
3278,tt0000974,5,nm0000428,director,\N,\N
3279,tt0000974,6,nm0940488,writer,writer,\N
3280,tt0000974,7,nm1972946,composer,\N,\N
3281,tt0000974,8,nm0005658,cinematographer,\N,\N
3282,tt0000974,9,nm0277411,actress,\N,"[""Guest""]"
3283,tt0000975,10,nm0642722,actor,\N,"[""At Club""]"
3284,tt0000975,1,nm0173994,actor,\N,"[""Mr. Jones""]"
3285,tt0000975,2,nm0492757,actress,\N,"[""Mrs. Jones""]"
3286,tt0000975,3,nm0784407,actor,\N,"[""The Burglar""]"
3287,tt0000975,4,nm0125164,actor,\N,"[""At Club""]"
3288,tt0000975,5,nm0000428,director,\N,\N
3289,tt0000975,6,nm0005658,cinematographer,\N,\N
3290,tt0000975,7,nm0555522,cinematographer,\N,\N
3291,tt0000975,8,nm0424530,actor,\N,"[""At Club""]"
3292,tt0000975,9,nm0601698,actor,\N,"[""At Club""]"
3293,tt0000976,1,nm0173994,actor,\N,"[""Mr. Jones""]"
3294,tt0000976,2,nm0492757,actress,\N,"[""Mrs. Jones""]"
3295,tt0000976,3,nm0642722,actor,\N,"[""The Repairman""]"
3296,tt0000976,4,nm0076202,actress,\N,\N
3297,tt0000976,5,nm0000428,director,\N,\N
3298,tt0000976,6,nm0005658,cinematographer,\N,\N
3299,tt0000976,7,nm0784407,actor,\N,\N
3300,tt0000977,1,nm0092290,actor,\N,\N
3301,tt0000977,2,nm1902148,producer,producer,\N
3302,tt0000977,3,nm0667386,cinematographer,\N,\N
3303,tt0000978,1,nm0488932,actor,\N,\N
3304,tt0000979,1,nm0401967,actor,\N,"[""Napoleon""]"
3305,tt0000979,2,nm0012317,actor,\N,\N
3306,tt0000979,3,nm0037789,actress,\N,\N
3307,tt0000979,4,nm0680383,actor,\N,\N
3308,tt0000979,5,nm0085865,director,\N,\N
3309,tt0000979,6,nm0612348,writer,scenario,\N
3310,tt0000980,1,nm0294276,director,\N,\N
3311,tt0000980,2,nm0378408,producer,producer,\N
3312,tt0000981,1,nm0455237,actress,\N,"[""Harriet Leroque Kendrick""]"
3313,tt0000981,2,nm0697944,actor,\N,"[""John Kendrick""]"
3314,tt0000981,3,nm0364516,actress,\N,"[""Owner of Necklace (unconfirmed)""]"
3315,tt0000981,5,nm0000428,director,\N,\N
3316,tt0000981,6,nm0940488,writer,writer,\N
3317,tt0000981,7,nm0560943,writer,novel,\N
3318,tt0000981,8,nm0005658,cinematographer,\N,\N
3319,tt0000981,9,nm0555522,cinematographer,\N,\N
3320,tt0000982,1,nm0294276,director,\N,\N
3321,tt0000982,2,nm0378408,producer,producer,\N
3322,tt0000983,1,nm0502701,actress,\N,"[""The Woman""]"
3323,tt0000983,2,nm0784407,actor,\N,"[""The Thief""]"
3324,tt0000983,3,nm0424530,actor,\N,"[""Helper""]"
3325,tt0000983,4,nm0697944,actor,\N,"[""Helper""]"
3326,tt0000983,5,nm0000428,director,\N,\N
3327,tt0000983,6,nm0005658,cinematographer,\N,\N
3328,tt0000984,1,nm0023107,director,\N,\N
3329,tt0000985,10,nm0502701,actress,\N,"[""Factory Employee""]"
3330,tt0000985,1,nm0492757,actress,\N,"[""Ella Berling""]"
3331,tt0000985,2,nm0376829,actress,\N,"[""The Mother""]"
3332,tt0000985,4,nm0797094,actor,\N,"[""The Butler""]"
3333,tt0000985,5,nm0000428,director,\N,\N
3334,tt0000985,6,nm0173994,actor,\N,"[""In Office""]"
3335,tt0000985,7,nm0366008,actor,\N,"[""In Store""]"
3336,tt0000985,8,nm0409390,actor,\N,"[""Customer Who Finds Note""]"
3337,tt0000985,9,nm0424530,actor,\N,"[""In Office""]"
3338,tt0000986,10,nm0492757,actress,\N,\N
3339,tt0000986,1,nm0424530,actor,\N,"[""The Husband""]"
3340,tt0000986,2,nm0502701,actress,\N,"[""The Wife""]"
3341,tt0000986,3,nm0288616,actor,\N,"[""The Viper""]"
3342,tt0000986,4,nm0262757,actor,\N,"[""In Mob""]"
3343,tt0000986,5,nm0000428,director,\N,\N
3344,tt0000986,6,nm0940488,writer,writer,\N
3345,tt0000986,7,nm0005658,cinematographer,\N,\N
3346,tt0000986,8,nm0366511,actress,\N,"[""Victimized Woman""]"
3347,tt0000986,9,nm0456804,actor,\N,"[""In Mob""]"
3348,tt0000987,1,nm0022607,actor,\N,\N
3349,tt0000987,2,nm0079813,actor,\N,\N
3350,tt0000987,3,nm1069398,actor,\N,\N
3351,tt0000987,4,nm0618000,actor,\N,\N
3352,tt0000987,5,nm0711337,director,\N,\N
3353,tt0000987,6,nm0333175,cinematographer,\N,\N
3354,tt0000987,7,nm2931813,actor,\N,\N
3355,tt0000987,8,nm0834325,actor,\N,\N
3356,tt0000987,9,nm2932070,actor,\N,\N
3357,tt0000988,1,nm0814379,actress,\N,"[""Governess""]"
3358,tt0000988,2,nm0333175,director,\N,\N
3359,tt0000989,1,nm0456804,actor,\N,"[""Zeke Wright""]"
3360,tt0000989,2,nm0704334,actor,\N,"[""Tom Wright - Zeke's Nephew""]"
3361,tt0000989,3,nm0681933,actress,\N,"[""Bessie""]"
3362,tt0000989,4,nm0784407,actor,\N,\N
3363,tt0000989,5,nm0000428,director,\N,\N
3364,tt0000989,6,nm0005658,cinematographer,\N,\N
3365,tt0000990,1,nm0832458,actress,\N,"[""Oliver""]"
3366,tt0000990,2,nm0401967,actor,\N,"[""Fagin""]"
3367,tt0000990,3,nm0652898,actress,\N,"[""Nancy Sykes""]"
3368,tt0000990,4,nm0085865,director,\N,\N
3369,tt0000990,5,nm0002042,writer,novel,\N
3370,tt0000990,6,nm0612348,writer,writer,\N
3371,tt0000991,1,nm0098376,actor,\N,\N
3372,tt0000991,2,nm0366609,actress,\N,\N
3373,tt0000991,3,nm0909639,actor,\N,\N
3374,tt0000991,4,nm0091767,director,\N,\N
3375,tt0000991,5,nm0783152,producer,producer,\N
3376,tt0000992,1,nm0119164,actress,\N,"[""Ruth""]"
3377,tt0000993,10,nm0409390,actor,\N,"[""Customer""]"
3378,tt0000993,1,nm0173994,actor,\N,"[""Jim Smith""]"
3379,tt0000993,2,nm0697944,actor,\N,"[""Hiram Greengage""]"
3380,tt0000993,3,nm0043018,actor,\N,"[""In Store""]"
3381,tt0000993,4,nm0226992,actor,\N,\N
3382,tt0000993,5,nm0000428,director,\N,\N
3383,tt0000993,6,nm0005658,cinematographer,\N,\N
3384,tt0000993,7,nm0555522,cinematographer,\N,\N
3385,tt0000993,8,nm0366008,actor,\N,"[""Customer""]"
3386,tt0000993,9,nm0376829,actress,\N,"[""Customer""]"
3387,tt0000994,1,nm0294276,director,\N,\N
3388,tt0000994,2,nm0378408,producer,producer,\N
3389,tt0000995,10,nm0115524,actress,\N,\N
3390,tt0000995,1,nm0424530,actor,\N,"[""John Murray""]"
3391,tt0000995,2,nm0492757,actress,\N,"[""Mrs. John Murray""]"
3392,tt0000995,3,nm0502701,actress,\N,"[""Sicilian Woman""]"
3393,tt0000995,4,nm0409390,actor,\N,"[""Sicilian Woman's Accomplice""]"
3394,tt0000995,5,nm0000428,director,\N,\N
3395,tt0000995,6,nm0853193,writer,\N,\N
3396,tt0000995,7,nm0555522,cinematographer,\N,\N
3397,tt0000995,8,nm0813603,actor,\N,"[""Doctor""]"
3398,tt0000995,9,nm0038106,actress,\N,"[""Nurse""]"
3399,tt0000996,1,nm0294276,director,\N,\N
3400,tt0000996,2,nm0378408,producer,producer,\N
3401,tt0000997,10,nm0035187,actor,\N,\N
3402,tt0000997,1,nm0629589,actor,\N,"[""George""]"
3403,tt0000997,2,nm0115524,actress,\N,"[""Hetty""]"
3404,tt0000997,3,nm0354803,actress,\N,"[""Hetty's Niece - Mary - as a Child""]"
3405,tt0000997,4,nm0732651,actress,\N,"[""Hetty's Niece - Mary - as an Adult""]"
3406,tt0000997,5,nm0000428,director,\N,\N
3407,tt0000997,6,nm0940488,writer,writer,\N
3408,tt0000997,7,nm0005658,cinematographer,\N,\N
3409,tt0000997,8,nm0601698,actor,\N,"[""George's Nephew - Jack""]"
3410,tt0000997,9,nm0784407,actor,\N,"[""Hetty's Brother-in-Law""]"
3411,tt0000998,1,nm0304862,actor,\N,"[""Othello""]"
3412,tt0000998,2,nm0503227,actress,\N,"[""Desdemona""]"
3413,tt0000998,3,nm0232370,actor,\N,"[""Iago""]"
3414,tt0000998,4,nm0626131,actor,\N,"[""Cassio""]"
3415,tt0000998,5,nm0266080,director,\N,\N
3416,tt0000998,6,nm0000636,writer,"play ""Othello""",\N
3417,tt0000998,7,nm0679086,actor,\N,"[""Duke of Venice""]"
3418,tt0000998,8,nm0094801,actor,\N,\N
3419,tt0000999,1,nm0119164,actress,\N,\N
3420,tt0000999,2,nm0421945,actress,\N,\N
3421,tt0000999,3,nm0488932,actor,\N,\N
3422,tt0000999,4,nm0526168,actor,\N,\N
3423,tt0000999,5,nm0333175,cinematographer,\N,\N
3424,tt0000999,6,nm0684773,actor,\N,"[""Paul Wang""]"
3425,tt0000999,7,nm0814379,actress,\N,\N
3426,tt0000999,8,nm0937628,actor,\N,\N
3427,tt0001000,1,nm0173994,actor,\N,"[""Mr. Jones""]"
3428,tt0001000,2,nm0492757,actress,\N,"[""Mrs. Jones""]"
3429,tt0001000,3,nm0376829,actress,\N,"[""The Maid""]"
3430,tt0001000,4,nm0038106,actress,\N,"[""Visitor""]"
3431,tt0001000,5,nm0000428,director,\N,\N
3432,tt0001000,6,nm0005658,cinematographer,\N,\N
3433,tt0001000,7,nm0555522,cinematographer,\N,\N
3434,tt0001000,8,nm0043018,actor,\N,"[""On Street""]"
3435,tt0001000,9,nm0102858,actress,\N,\N
3436,tt0001001,1,nm0732651,actress,\N,"[""Pippa""]"
3437,tt0001001,2,nm0629589,actor,\N,"[""Pippa's Husband""]"
3438,tt0001001,3,nm0456804,actor,\N,"[""Jules""]"
3439,tt0001001,4,nm0038106,actress,\N,"[""Greek Model""]"
3440,tt0001001,5,nm0000428,director,\N,\N
3441,tt0001001,6,nm0115203,writer,play,\N
3442,tt0001001,7,nm0940488,writer,writer,\N
3443,tt0001001,8,nm0005658,cinematographer,\N,\N
3444,tt0001001,9,nm0555522,cinematographer,\N,\N
3445,tt0001002,1,nm0784407,actor,\N,"[""Boss Tim Crogan""]"
3446,tt0001002,2,nm0502701,actress,\N,"[""Peters - the Cartoonist""]"
3447,tt0001002,3,nm0697944,actor,\N,"[""Crogan's Friend""]"
3448,tt0001002,4,nm0038106,actress,\N,"[""Woman - Third Couple""]"
3449,tt0001002,5,nm0000428,director,\N,\N
3450,tt0001002,6,nm0005658,cinematographer,\N,\N
3451,tt0001002,7,nm0555522,cinematographer,\N,\N
3452,tt0001002,8,nm0311375,actor,\N,"[""Newspaper Employee""]"
3453,tt0001002,9,nm0376829,actress,\N,"[""Woman - Fourth Couple""]"
3454,tt0001003,1,nm0005717,director,\N,\N
3455,tt0001004,1,nm0264710,actress,\N,\N
3456,tt0001004,2,nm0547329,actress,\N,\N
3457,tt0001004,3,nm0547928,actor,\N,\N
3458,tt0001004,4,nm0674600,actor,\N,\N
3459,tt0001004,5,nm0275421,writer,writer,\N
3460,tt0001004,6,nm0304098,writer,writer,\N
3461,tt0001004,7,nm0677609,actress,\N,\N
3462,tt0001005,10,nm0910400,actor,\N,"[""Sunbather""]"
3463,tt0001005,1,nm0424530,actor,\N,"[""Tom""]"
3464,tt0001005,2,nm0502701,actress,\N,"[""Ethel""]"
3465,tt0001005,3,nm0366008,actor,\N,"[""One of the Boys""]"
3466,tt0001005,4,nm0681927,actor,\N,"[""One of the Boys""]"
3467,tt0001005,5,nm0000428,director,\N,\N
3468,tt0001005,6,nm0555522,cinematographer,\N,\N
3469,tt0001005,7,nm0038106,actress,\N,"[""On Porch""]"
3470,tt0001005,8,nm0642722,actor,\N,"[""Mr. Tramp""]"
3471,tt0001005,9,nm0704334,actor,\N,"[""Sunbather""]"
3472,tt0001006,1,nm0005717,director,\N,\N
3473,tt0001007,1,nm0185426,director,\N,\N
3474,tt0001007,2,nm0870831,cinematographer,\N,\N
3475,tt0001008,2,nm0644728,actor,\N,\N
3476,tt0001008,3,nm0814825,actor,\N,\N
3477,tt0001008,4,nm0878494,actor,\N,\N
3478,tt0001008,5,nm0205986,director,\N,\N
3479,tt0001008,6,nm0874364,actress,\N,\N
3480,tt0001009,1,nm0659947,actor,\N,"[""The Smoker""]"
3481,tt0001009,2,nm0401368,actress,\N,"[""The Elder Fairy""]"
3482,tt0001009,3,nm0085865,director,\N,\N
3483,tt0001010,1,nm0185426,director,\N,\N
3484,tt0001010,2,nm0870831,cinematographer,\N,\N
3485,tt0001011,1,nm0502701,actress,\N,"[""Lady Florence""]"
3486,tt0001011,2,nm0813603,actor,\N,"[""Count Lopes""]"
3487,tt0001011,3,nm0601698,actor,\N,"[""The Spy""]"
3488,tt0001011,4,nm0492757,actress,\N,"[""The Maid""]"
3489,tt0001011,5,nm0000428,director,\N,\N
3490,tt0001011,6,nm0005658,cinematographer,\N,\N
3491,tt0001011,7,nm0424530,actor,\N,"[""Soldier""]"
3492,tt0001011,8,nm0587097,actor,\N,"[""Soldier""]"
3493,tt0001011,9,nm0784407,actor,\N,"[""Soldier""]"
3494,tt0001012,1,nm0001908,actor,\N,"[""Jim Watson""]"
3495,tt0001012,2,nm0639631,actor,\N,"[""Walter Milton""]"
3496,tt0001012,3,nm0161366,actor,\N,"[""The Mexican""]"
3497,tt0001012,4,nm0808828,actor,\N,"[""The Girl's Father""]"
3498,tt0001012,5,nm1400009,actor,\N,"[""The Cowboy Whittling Wood""]"
3499,tt0001013,10,nm0366511,actress,\N,"[""Indian""]"
3500,tt0001013,1,nm0601698,actor,\N,"[""Silver Eagle""]"
3501,tt0001013,2,nm0681931,actress,\N,"[""Minnewanna""]"
3502,tt0001013,3,nm0115524,actress,\N,"[""Indian""]"
3503,tt0001013,4,nm0185803,actor,\N,"[""Conqueror""]"
3504,tt0001013,5,nm0000428,director,\N,\N
3505,tt0001013,6,nm0940488,writer,\N,\N
3506,tt0001013,7,nm0005658,cinematographer,\N,\N
3507,tt0001013,8,nm0262757,actor,\N,"[""Conqueror""]"
3508,tt0001013,9,nm0354803,actress,\N,"[""Indian""]"
3509,tt0001014,10,nm0424530,actor,\N,\N
3510,tt0001014,1,nm0681933,actress,\N,"[""Kittie Ryan""]"
3511,tt0001014,2,nm0642722,actor,\N,"[""Steve Ryan - Kittie's Uncle""]"
3512,tt0001014,3,nm0456804,actor,\N,"[""Joe Fielding""]"
3513,tt0001014,4,nm0813603,actor,\N,"[""Sam Walters""]"
3514,tt0001014,5,nm0000428,director,\N,\N
3515,tt0001014,6,nm0005658,cinematographer,\N,\N
3516,tt0001014,7,nm0555522,cinematographer,\N,\N
3517,tt0001014,8,nm0704334,actor,\N,"[""Kittie's Fiancé""]"
3518,tt0001014,9,nm0041858,actor,\N,\N
3519,tt0001015,10,nm0262757,actor,\N,"[""Servant""]"
3520,tt0001015,1,nm0456804,actor,\N,"[""Mr. Morley""]"
3521,tt0001015,2,nm0502701,actress,\N,"[""Mrs. Morley""]"
